"log_time","username","role","action"
"2025-10-22 15:45:15.928318","admin","Admin","Logged out"
"2025-10-22 14:40:41.490708","admin","Admin","Logged out"
"2025-10-22 14:14:43.983090","admin","Admin","Logged out"
"2025-10-22 14:14:07.753678","admin","Admin","Logged out"
"2025-10-22 13:11:17.094440","admin","Admin","Logged out"
"2025-10-21 21:50:46.359943","admin","Admin","Logged out"
"2025-10-21 21:09:07.646181","admin","Admin","Logged out"
"2025-10-15 12:58:07.703674","admin","Admin","Logged out"
"2025-10-15 12:53:20.383404","admin","Admin","Logged out"
"2025-10-15 12:50:03.673477","admin","Admin","Logged out"
"2025-10-15 12:42:18.649438","admin","Admin","Logged out"
"2025-10-15 12:35:00.423115","admin","Admin","Logged out"
"2025-10-15 12:34:41.233299","admin","Admin","Logged out"
"2025-10-15 12:34:16.615432","admin","Admin","Logged out"
"2025-10-15 12:33:36.930814","admin","Admin","Logged out"
"2025-10-15 12:31:55.972718","admin","Admin","Logged out"
"2025-10-15 12:31:16.995364","admin","Admin","Logged out"
"2025-10-15 12:30:06.152413","admin","Admin","Logged out"
"2025-10-14 13:25:14.828620","admin","Admin","Logged out"
"2025-10-10 12:46:36.075345","admin","Admin","Logged out"
"10/22/2025 15:30:03","user","cashier","Created an order with total of 50"
"10/22/2025 15:29:55","user","cashier","Created an order with total of 50"
"10/22/2025 15:29:47","user","cashier","Created an order with total of 80"
"10/22/2025 15:26:30","user","cashier","Created an order with total of 20"
"10/22/2025 15:26:03","user","cashier","Created an order with total of 25"
"10/22/2025 13:57:12","user","cashier","Applied discount: 0.2 Type: Student"
"10/22/2025 13:57:02","user","cashier","Created an order with total of 120"
"10/22/2025 13:53:29","user","cashier","Logged in"
"10/22/2025 13:24:22","admin","admin","Logged in"
"10/22/2025 13:19:38","user","cashier","Created an order with total of 20"
"10/21/2025 22:17:53","user","cashier","Applied discount: 0.4"
"10/21/2025 06:53:44","user","cashier","Created an order with total of 20"
"10/21/2025 06:53:08","user","cashier","Created an order with total of 150"
"10/15/2025 12:59:09","user","cashier","Created an order with total of 100"
"10/15/2025 12:58:56","user","cashier","Created an order with total of 0"
"10/15/2025 12:58:41","user","cashier","Applied discount: 1"
"10/14/2025 14:54:05","user","cashier","Created an order with total of 20"
"10/14/2025 14:52:29","user","cashier","Created an order with total of 90"
"10/14/2025 13:33:10","user","cashier","Created an order with total of 20"
"10/14/2025 13:24:03","user","cashier","Created an order with total of 644"
"10/14/2025 13:21:33","user","cashier","Applied discount: 0.2"
"10/14/2025 12:20:04","user","cashier","Created an order with total of 385"
"10/14/2025 12:19:29","user","cashier","Created an order with total of 620"
"10/14/2025 12:13:06","user","cashier","Created an order with total of 1220"
"10/14/2025 11:43:29","user","cashier","Created an order with total of 324"
"10/14/2025 11:43:22","user","cashier","Applied discount: 0.2"
"10/14/2025 11:42:54","user","cashier","Created an order with total of 175"
"10/14/2025 11:42:46","user","cashier","Created an order with total of 110"
"10/14/2025 11:42:00","user","cashier","Created an order with total of 95"
"10/14/2025 11:36:46","user","cashier","Applied discount: 0.2"
"10/14/2025 11:31:17","user","cashier","Created an order with total of 410"
"10/13/2025 05:56:04","user","cashier","Created an order with total of 270"
"10/13/2025 05:44:56","user","cashier","Created an order with total of 95"
"10/13/2025 02:24:11","user","cashier","Created an order with total of 390"
"10/13/2025 02:15:04","user","cashier","Created an order with total of 390"
"10/13/2025 02:14:16","user","cashier","Created an order with total of 85"
"10/13/2025 02:13:15","user","cashier","Created an order with total of 190"
"10/13/2025 02:10:49","user","cashier","Created an order with total of 200"
"10/13/2025 02:06:50","user","cashier","Created an order with total of 195"
"10/13/2025 02:05:13","user","cashier","Created an order with total of 505"
"10/13/2025 02:04:41","user","cashier","Created an order with total of 200"
"10/13/2025 02:02:59","user","cashier","Created an order with total of 90"
"10/13/2025 02:02:51","user","cashier","Created an order with total of 295"
"10/13/2025 02:01:06","user","cashier","Created an order with total of 200"
"10/13/2025 01:58:53","user","cashier","Created an order with total of 180"
"10/12/2025 09:22:12","user","cashier","Created an order"
"10/12/2025 09:01:13","user","cashier","Created an order"
"10/12/2025 09:01:08","user","cashier","Applied discount: 0.2 Type: Senior"
"10/12/2025 08:36:00","user","cashier","Created an order"
"10/12/2025 08:34:52","user","cashier","Applied discount: 0"
"10/11/2025 15:05:41","user","cashier","Created an order"
"10/11/2025 15:05:19","user","cashier","Created an order"
"10/11/2025 15:05:12","user","cashier","Applied discount: 0.1"
"10/11/2025 15:01:44","user","cashier","Created an order"
"10/11/2025 14:54:13","user","cashier","Created an order"
"10/11/2025 14:51:27","user","cashier","Created an order"
"10/11/2025 14:41:47","user","cashier","Applied discount: 0.2"
"10/11/2025 14:41:27","user","cashier","Created an order"
"10/11/2025 14:27:37","user","cashier","Created an order"
"10/11/2025 11:01:54","user","cashier","Created an order"
"10/11/2025 11:01:48","user","cashier","Created an order"
"10/11/2025 11:00:52","user","cashier","Created an order"
"10/11/2025 11:00:38","user","cashier","Created an order"
"10/11/2025 10:00:53","user","cashier","Created an order"
"10/11/2025 09:55:34","user","cashier","Created an order"
"10/11/2025 09:55:31","user","cashier","Applied discount: 0.2"
"10/11/2025 09:55:08","user","cashier","Created an order"
"10/11/2025 01:31:38","user","cashier","Created an order"
"10/11/2025 01:28:35","user","cashier","Created an order"
"10/10/2025 14:33:33","user","cashier","Created an order"
"10/10/2025 14:31:48","user","cashier","Created an order"
"10/10/2025 14:30:33","user","cashier","Applied discount: 0.2"
"10/10/2025 12:46:51","user","cashier","Created an order"
"10/10/2025 11:55:46","user","cashier","Created an order"
"10/10/2025 11:55:41","user","cashier","Applied discount: 0.2"
"10/10/2025 11:49:42","user","cashier","Created an order"
